Determine the patient type drives the most revenue/encounter? 

Results Grid

patienttype,revperenc
Surgery,1202.8009557200567
"Retinal Lasers",525.5806282987966
"Yag Laser Office",508.65824266
"Yag Laser",502.12787967272726
"Yag Laser ASC",491.1062144999999
"Office Procedure",446.4254552376668
"Retinal Injections",353.8423053653055
"Retinal Procedures",315.34829439335954
"SLT Laser Office",208.67
Anesthesia,205.3238809220324
0,202.26369213892858
"SLT Laser ASC",170.161441950204
"SLT Lasers",166.2277911244737
"Office Visit",125.78012400028469
"O C T Test",122.09858381039994
"New Pt",115.37993160119998
"Emergency Call Visit",84.45529661163265
"Shared Post Op",79.79197190000001
Medication,70.4071243076271
"Diagnostic Test",70.16688699917354
"Visual Field",67.42733798869564
"Medical Records Fee",35.825568491666665
"Post Op",35.06273694645696
Telemedicine,29.45767886333333
"Walk In",15.1076118125
"Post Op 1 Day",1.5405501889545454
"Pre Op",0

Surgery had the highest patient type revenue per encounter
